position,x,y,z,yaw,pitch,roll
start,27.1177,-12.4300689,0,270,0,0
down_left,12.4365,-22.9885,0,0,0,0
down_right,7.265,-23.016,0,0,0,0
upper_left,7.1195,-25.7212,0,0,0,0
upper_right,12.1415,-25.6392,0,0,0,0
center_orientation,,,,180,,
left_down_left,,,,,,
left_down_right,,,,,,
left_upper_left,,,,,,
left_upper_right,,,,,,
left_center_orientation,,,,,,
right_down_left,11.7902927,-25.81860733,0,0,0,0
right_down_right,11.78421227,-28.64800072,0,0,0,0
right_upper_left,7.19534349,-25.7300148,0,0,0,0
right_upper_right,7.1626486,-28.5866527,0,0,0,0
right_center_orientation,,,,180,,
spectator,21.2915992,-58.451747,13.560186,74.822677,329.4964924,1.68E-05
